"DATE","GEOID","GEO","NAME","POSITIVE","POS_NEW","POS_7DAYAVG","NEGATIVE","NEG_NEW","NEG_7DAYAVG","DEATHS","DTH_NEW","DTH_7DAYAVG","TEST_NEW","TEST_7DAYAVG","HOSP_YES","HOSP_NO","HOSP_UNK","POS_FEM","POS_MALE","POS_OTH","POS_0_9","POS_10_19","POS_20_29","POS_30_39","POS_40_49","POS_50_59","POS_60_69","POS_70_79","POS_80_89","POS_90","DTHS_FEM","DTHS_MALE","DTHS_OTH","DTHS_0_9","DTHS_10_19","DTHS_20_29","DTHS_30_39","DTHS_40_49","DTHS_50_59","DTHS_60_69","DTHS_70_79","DTHS_80_89","DTHS_90","POS_AIAN","POS_ASN","POS_BLK","POS_WHT","POS_MLTOTH","POS_UNK","POS_E_HSP","POS_E_NHSP","POS_E_UNK","DTH_AIAN","DTH_ASN","DTH_BLK","DTH_WHT","DTH_MLTOTH","DTH_UNK","DTH_E_HSP","DTH_E_NHSP","DTH_E_UNK","POS_HC_Y","POS_HC_N","POS_HC_UNK","IP_Y_0_9","IP_Y_10_19","IP_Y_20_29","IP_Y_30_39","IP_Y_40_49","IP_Y_50_59","IP_Y_60_69","IP_Y_70_79","IP_Y_80_89","IP_Y_90","IP_N_0_9","IP_N_10_19","IP_N_20_29","IP_N_30_39","IP_N_40_49","IP_N_50_59","IP_N_60_69","IP_N_70_79","IP_N_80_89","IP_N_90","IP_U_0_9","IP_U_10_19","IP_U_20_29","IP_U_30_39","IP_U_40_49","IP_U_50_59","IP_U_60_69","IP_U_70_79","IP_U_80_89","IP_U_90","IC_YES","IC_Y_0_9","IC_Y_10_19","IC_Y_20_29","IC_Y_30_39","IC_Y_40_49","IC_Y_50_59","IC_Y_60_69","IC_Y_70_79","IC_Y_80_89","IC_Y_90","OBJECTID"
2020-12-11,"55","State","WI",429957,3858,3628.86,2231765,7187,7349.29,3991,47,52.29,11045,10978.14,19020,227650,183287,220141,208930,885,16132,48461,83843,67286,61361,65855,46482,24149,11881,4507,1814,2168,9,0,0,14,30,74,220,520,1011,1263,859,5570,9534,29403,323685,25591,36174,47150,310432,72375,58,71,315,3342,71,134,257,3466,268,15989,127059,286909,157,304,908,1131,1403,2591,3825,4307,3258,1136,10251,26518,43671,35860,33242,35706,24902,11435,4530,1535,5724,21639,39264,30295,26716,27558,17755,8407,4093,1836,1916,13,13,51,68,165,306,493,463,272,72,546720
2020-12-10,"55","State","WI",426099,4034,3770.14,2224578,8521,7801.14,3944,57,54.57,12555,11571.29,18875,225388,181836,218180,207036,882,15969,48052,83217,66652,60800,65284,46027,23904,11752,4442,1795,2140,9,0,0,14,30,73,217,518,993,1249,850,5486,9441,29145,320567,25475,35985,46792,307426,71881,58,71,315,3300,70,130,257,3429,258,15974,127005,283120,156,305,904,1127,1400,2576,3798,4261,3218,1130,10147,26263,43309,35470,32900,35351,24644,11312,4478,1514,5666,21484,39004,30055,26500,27357,17585,8331,4056,1798,1902,13,13,50,67,164,305,493,457,270,70,554010
2020-12-09,"55","State","WI",422065,3619,3853.57,2216057,8107,7634.43,3887,81,55,11726,11488,18715,223084,180266,216160,205025,879,15778,47565,82561,66044,60207,64628,45587,23650,11641,4404,1769,2109,9,0,0,14,30,72,213,511,979,1230,838,5431,9355,28866,317457,25275,35681,46412,304391,71262,56,71,314,3248,70,128,255,3378,254,15962,126948,279155,156,299,898,1121,1389,2559,3768,4222,3188,1115,10028,25975,42942,35143,32534,34972,24381,11190,4423,1496,5594,21291,38721,29780,26284,27097,17438,8238,4030,1793,1897,13,12,50,67,164,306,491,455,269,70,550655
2020-12-08,"55","State","WI",418446,4114,3876.14,2207950,5477,7362.86,3806,68,55.14,9591,11239,18500,220855,179091,214305,203275,865,15623,47207,81953,65468,59642,64028,45207,23419,11530,4368,1728,2070,8,0,0,14,30,71,209,503,959,1198,822,5397,9265,28545,314625,25112,35502,46099,301612,70735,55,70,308,3187,70,116,252,3319,235,15947,126874,275625,155,294,891,1114,1380,2536,3737,4167,3135,1091,9909,25744,42571,34762,32203,34582,24169,11073,4362,1479,5559,21169,38491,29592,26059,26910,17301,8179,4033,1798,1889,13,12,50,67,164,306,488,452,268,69,538851
2020-12-07,"55","State","WI",414332,2155,3871,2202473,5751,7496.71,3738,19,60.71,7906,11367.71,18286,218113,177933,212180,201298,853,15425,46757,81304,64800,59074,63377,44692,23202,11412,4289,1695,2035,8,0,0,14,30,71,202,498,942,1176,805,5325,9143,28293,311396,24901,35274,45679,298525,70128,53,69,302,3123,69,122,247,3254,237,15928,126811,271593,154,294,880,1103,1370,2507,3694,4124,3093,1067,9745,25408,42126,34292,31806,34151,23855,10954,4322,1454,5526,21055,38298,29405,25898,26719,17143,8124,3997,1768,1882,13,12,50,67,164,304,486,451,266,69,544801
2020-12-06,"55","State","WI",412177,2791,3925.14,2196722,7773,7561.71,3719,17,58.86,10564,11486.86,18216,217106,176855,210995,200338,843,15293,46505,80927,64443,58803,63083,44451,23056,11359,4257,1685,2026,8,0,0,14,30,70,202,497,937,1170,799,5302,9077,28109,309837,24761,35091,45451,296993,69733,53,69,302,3103,69,123,246,3237,236,15921,126785,269471,154,293,874,1102,1362,2497,3683,4108,3082,1061,9680,25277,41938,34132,31665,34017,23744,10904,4301,1448,5459,20935,38115,29209,25776,26569,17024,8044,3976,1748,1880,13,12,50,67,164,304,485,450,266,69,154772
2020-12-05,"55","State","WI",409386,4831,4073.71,2188949,8629,7262.71,3702,77,59.57,13460,11336.43,18126,215831,175429,209543,199002,840,15134,46211,80447,64012,58420,62703,44108,22863,11271,4217,1675,2019,8,0,0,14,30,69,202,495,931,1168,793,5291,9024,27916,307749,24592,34814,45210,294988,69188,53,68,301,3091,69,120,246,3222,234,15918,126739,266729,152,293,870,1097,1355,2492,3659,4090,3062,1056,9596,25130,41727,33930,31511,33834,23570,10830,4269,1434,5386,20788,37850,28985,25554,26377,16879,7943,3940,1727,1879,12,12,50,67,164,304,485,450,266,69,534903
2020-12-04,"55","State","WI",404555,4847,4102.57,2180320,10350,6660,3625,63,52.57,15197,10762.57,17943,213194,173418,207089,196638,827,14920,45636,79670,63229,57741,61891,43606,22610,11104,4148,1643,1974,8,0,0,14,30,67,202,483,917,1136,776,5243,8882,27569,304004,24327,34530,44755,291387,68413,51,67,298,3023,67,119,244,3143,238,15902,126657,261996,151,291,863,1091,1349,2462,3632,4048,3020,1036,9456,24789,41262,33479,31112,33436,23309,10730,4212,1409,5313,20556,37545,28659,25280,25993,16665,7832,3872,1703,1865,12,12,50,67,162,302,481,448,262,69,526715
2020-12-03,"55","State","WI",399708,4618,3595.86,2169970,7354,6395.43,3562,60,46,11972,9991.29,17741,210541,171426,204568,194319,820,14688,45107,78874,62399,57001,61149,43075,22351,10982,4082,1622,1933,7,0,0,14,29,65,195,476,902,1121,760,5180,8733,27216,300398,24039,34142,44338,287831,67539,51,67,294,2967,67,116,239,3087,236,15807,125955,257946,149,285,851,1077,1330,2433,3596,3999,2992,1029,9313,24498,40836,33026,30704,33018,23039,10576,4155,1376,5226,20324,37187,28296,24967,25698,16440,7776,3835,1677,1853,12,12,50,67,161,299,480,444,259,69,526101
2020-12-02,"55","State","WI",395090,3777,3664,2162616,6206,6581,3502,82,46.29,9983,10245,17569,207918,169603,202282,192003,804,14483,44557,78041,61593,56349,60502,42545,22087,10898,4035,1593,1902,7,0,0,14,28,65,191,472,884,1095,753,5102,8576,26921,296871,23732,33888,43881,284353,66856,50,65,295,2916,64,112,235,3045,222,15685,125064,254341,148,281,845,1072,1320,2405,3548,3961,2966,1023,9186,24204,40395,32589,30303,32620,22739,10431,4105,1346,5149,20072,36801,27932,24726,25477,16258,7695,3827,1666,1835,12,12,49,67,161,293,474,441,257,69,519578
